CXMSF,0.65,16.25,0.04,9.417,-6.93,-5.8,35.42,51.16,-51.86,-12.66,68.43,-51.86,-12.66,68.43,0
BCDRF,3.16,5.27,0.6,51.423,-12.95,-12.95,21.54,8.59,-62.76,-21.42,-635.92,-62.76,-21.42,-635.92,0
AKBTY,1.62,1.28,1.27,4.212,-18.59,0.62,-4.71,65.31,-30.65,-803.68,-144.74,-30.65,-803.68,-144.74,0
BBVA,6.89,5.75,1.2,41.28,-3.43,-1.15,22.82,37.52,-1072.39,-105.72,-498.44,-1072.39,-105.72,-498.44,0
SFM,36.01,15.12,2.38,3.707,-3.67,-1.13,9.59,53.17,5.86,-5.75,-29.47,5.86,-5.75,-29.47,0
OKE,58.23,10.97,5.31,26.055,-8.62,-9.73,-9.68,-8.36,-7.87,-724.14,-84.42,-7.87,-724.14,-84.42,0
YPF,11.01,2.6,4.24,8.823,-3.08,-3.34,49.59,153.69,45.48,23.8,74.64,45.48,23.8,74.64,0
TSCO,232.1,23.88,9.72,25.849,-3.26,-3.42,5.57,28.97,14.37,-53.63,85.19,14.37,-53.63,85.19,0
RKUNY,4.66,-1.0,-1.35,7.406,-9.34,-5.86,-2.2,-21.55,-526.12,-73.78,490.84,-526.12,-73.78,490.84,0
SOMMY,15.67,7.76,2.02,5.17,-5.77,-7.22,-9.79,-23.75,0.76,-54.14,253.23,0.76,-54.14,253.23,0
FOLD,11.02,-1.0,-0.79,3.215,-2.44,-9.3,1.1,42.01,-17.46,-12.74,-12.54,-17.46,-12.74,-12.54,0
TGS,12.54,12.93,0.97,3.475,-4.44,6.72,44.3,101.28,-51.06,-0.44,-952.61,-51.06,-0.44,-952.61,0
PBR-A,10.36,1.84,5.62,67.569,-2.91,6.58,4.33,-27.04,27.55,36.71,1251.5,27.55,36.71,1251.5,0
KEP,7.24,-1.0,-14.7,9.295,-2.7,-1.23,-2.43,-18.74,332.15,4200.62,-96.79,332.15,4200.62,-96.79,0
TKGBY,1.42,1.77,0.8,5.964,-10.97,7.58,9.23,51.06,40.67,270.88,-39.54,40.67,270.88,-39.54,0
ALL-PH,22.2,1.84,12.04,33.098,-4.52,-4.93,4.18,-3.31,-1.47,-7.95,10.37,-1.47,-7.95,10.37,0
PAM,35.81,4.21,8.5,3.64,-4.15,4.92,36.21,66.71,-66.86,-8.79,283.01,-66.86,-8.79,283.01,0
BTGOF,1.83,8.32,0.22,18.719,-3.43,-5.18,29.79,-19.38,-14.43,22.92,-51.06,-14.43,22.92,-51.06,0
