symbols,scraped
TDOC,1
IVPAF,1
FNMAS,1
KDP,1
AYX,1
MOG-A,1
AXON,1
COLM,1
CRWD,1
NHYDY,1
HCP,1
FSLR,1
PINS,1
IOT,1
TEAM,1
ZS,1
PFSI,1
TKC,1
TMUS,1
SYM,1
PRNDY,1
BRZE,1
KMPR,1
CAIXY,1
UNCRY,1
INTA,1
AMZN,1
NVT,1
REMYY,1
ITGR,1
OLCLY,1
NET,1
LSRCY,1
LAZ,1
CFLT,1
SONY,1
SEDG,1
DDOG,1
BCCLF,1
ASND,1
MUFG,1
SWDBY,0
CNMD,1
RUN,1
RS,1
SNAP,1
FBASF,1
SVNLY,1
FHI,1
FE,1
SNEJF,1
AUOTY,1
QS,1
CKHGY,1
PROK,1
DOCN,1
NWG,1
EXPO,1
SMFG,1
DSNKY,1
KKOYY,1
S,1
BBVA,1
IAS,1
SHECY,1
HUBG,1
DIDIY,1
WHITF,1
ISNPY,1
PLTK,1
MFG,1
MTHRY,1
LPL,1
AON,1
SPWR,1
RNECY,1
SAN,1
FNMAT,1
VET,1
AMTD,1
ZWS,1
MLCO,1
DAN,1
MHK,1
RRC,1
MCARY,1
PPC,0
CE,1
OVV,1
GFL,1
COVTY,1
TPH,1
ARES,1
TRMLF,1
MSCI,1
EMN,1
XPO,1
LBRDK,1
AR,1
UBER,1
GNTX,1
EXLS,1
CILJF,1
BAK,1
GOL,1
RLLCF,1
SMCI,1
TOP,1
TFII,1
MDLZ,1
PSNY,1
SKX,1
RCL,1
TGLS,1
TGTX,1
GXO,1
NYCB,1
RMD,1
TROX,1
LYB,1
SAIA,1
JOBY,1
PI,1
EXTR,1
BPMC,1
RGEN,1
SWK,1
SDGR,1
RARE,1
EE,1
CTLT,1
GNW,1
LBRDA,1
ULCC,1
GH,1
APPF,1
MATX,1
ACLX,1
PUK,1
SM,1
CPE,1
CMA,1
SKT,1
ALSN,1
AX,1
VKTX,1
ACA,1
BTE,1
PACB,1
ARCB,1
AVTR,1
MRVI,1
MEGEF,1
WBD,1
PILBF,1
BASFY,1
NTLA,1
NE,1
RSG,1
NAAS,1
AAL,1
GNGYF,1
PTCT,1
MORN,1
CIOXY,1
EGRNF,1
LFST,1
WDC,1
ZION,1
EGO,1
USB,1
DKNG,1
DNA,1
CHTR,1
PDCE,1
MNSO,1
GDNGY,1
SUZ,1
