symbol,scraped_price,predicted_price_dnn,order_type,pos_procendage,quantity,pred_change
NPNYY,4.18,4.2804465,BUY,0.04090131427762628,24.0,2.4030270188619145
CCJ,27.05,26.851099,SELL,0.2646843423946868,4.0,-0.7353086348161706
AI,31.72,31.305513,SELL,0.3103803083460061,3.0,-1.3067043443946755
GOL,3.34,3.2697759,SELL,0.03268191140843822,31.0,-2.1025189382587324
BTU,18.61,19.053188,BUY,0.18209891356617824,5.0,2.3814525737485757
ARCH,109.85,109.102516,SELL,1.0748826252146522,1.0,-0.6804586487788694
HCM,13.34,13.550924,BUY,0.13053194556543887,8.0,1.581141687762077
DLO,11.52,11.930732,BUY,0.11272323934886476,9.0,3.5653799772262613
TEFOF,4.352,4.31486,SELL,0.042584334865126694,23.0,-0.8534037891556306
CRK,9.76,10.003895,BUY,0.09550163333723265,10.0,2.498922191682411
NVCR,74.48,74.74293,BUY,0.728787054401341,1.0,0.35301765745103014
TAL,5.92,6.0929127,BUY,0.05792722022094439,17.0,2.920822195104652
YMM,5.97,5.900391,SELL,0.0584164703917294,17.0,-1.165978193682438
PARAA,17.31,17.466555,BUY,0.16937840912576813,6.0,0.9044173409799775
MU,73.71,73.4364,SELL,0.7212526017712518,1.0,-0.3711825163647996
LFST,7.8,7.697096,SELL,0.07632302664246052,13.0,-1.3192837054912838
NEWR,76.14,76.56904,BUY,0.745030160071403,1.0,0.5634861979423177
PACB,12.74,12.862248,BUY,0.12466094351601885,8.0,0.9595637418785857
EDU,38.0,38.15827,BUY,0.3718301297966025,3.0,0.4165047093441612
LGF-A,11.46,11.215091,SELL,0.11213613914392276,9.0,-2.137078955951585
WCC,144.02,143.37984,SELL,1.4092361919291236,1.0,-0.4444958782580181
GDRX,5.51,5.537505,BUY,0.05391536882050736,19.0,0.49918602252829053
TSLA,196.26,194.37215,SELL,1.9204047703652949,1.0,-0.9619144978878419
CRDO,13.55,13.299151,SELL,0.1325867962827359,8.0,-1.851281028832022
BNTX,105.64,104.08332,SELL,1.033687760834555,1.0,-1.473570032491688
SMAR,48.49,48.729755,BUY,0.4744748156272962,2.0,0.49444298125660163
UMC,8.61,8.579134,SELL,0.08424887940917757,12.0,-0.3584902737891013
SMCI,221.3,220.59984,SELL,2.1654212558944246,1.0,-0.31638578543338175
PROK,11.01,10.943685,SELL,0.10773288760685773,9.0,-0.6023199097012285
GOCO,17.88,17.544113,SELL,0.17495586107271718,6.0,-1.878561749554315
CVAC,9.2,9.227845,BUY,0.0900220314244406,11.0,0.3026651299518165
PAGS,10.51,10.795486,BUY,0.1028403858990077,10.0,2.7163315908212438
SBS,10.7,10.758304,BUY,0.1046995365479907,10.0,0.5448938530182237
IONQ,9.93,9.981373,BUY,0.09716508391790166,10.0,0.5173497809864391
ISUZY,11.75,11.943893,BUY,0.11497379013447577,9.0,1.650156873337766
ASAN,21.65,21.741177,BUY,0.21184532394990643,5.0,0.4211390541552462
GTLB,34.71,34.85337,BUY,0.3396374685589493,3.0,0.4130529141570308
LGF-B,10.88,10.595332,SELL,0.10646083716281672,9.0,-2.6164324844584814
MHGVY,17.17,17.225367,BUY,0.16800850864757017,6.0,0.3224612254352059
TGS,12.4,12.5320215,BUY,0.12133404235468082,8.0,1.064689697757841
MXL,29.99,30.082289,BUY,0.293452252436845,3.0,0.3077317174572566
F,12.22,12.104901,SELL,0.11957274173985481,8.0,-0.9418877759268605
QCOM,108.81,108.4406,SELL,1.0647062216623242,1.0,-0.3394931217905659
JWN,15.94,15.991347,BUY,0.15597295444625905,6.0,0.32212868837670383
ATAT,18.0,18.50473,BUY,0.17613006148260119,6.0,2.8040568033854165
AMZN,120.71,120.14538,SELL,1.181147762309155,1.0,-0.4677507142796993
VRT,19.7,19.417614,SELL,0.1927645672892913,5.0,-1.4334315575923982
PLTR,13.57,13.396467,SELL,0.13278249635104988,8.0,-1.2787972817811024
CVNA,11.61,11.445832,SELL,0.11360388965627777,9.0,-1.4140202196172096
ATEYY,124.81,124.346306,SELL,1.2212662763135254,1.0,-0.37152003271535416
FRO,15.08,15.190546,BUY,0.147557851508757,7.0,0.7330638976565086
MRVL,63.89,63.36453,SELL,0.6251638682290772,2.0,-0.8224625825546114
ABG,211.46,208.48946,SELL,2.069136822283936,1.0,-1.404778125055422
PDD,71.09,70.711205,SELL,0.6956158928221177,1.0,-0.5328393180354616
PSTG,27.53,27.380943,SELL,0.2693811440342228,4.0,-0.5414337147117958
PARA,14.9,15.060142,BUY,0.14579655089393098,7.0,1.0747755933927985
PATH,15.83,15.947618,BUY,0.15489660407053205,6.0,0.7430039849826522
