symbol,scraped_price,predicted_price_xgb,order_type,pos_procendage,quantity,pred_change
RH,246.09,242.68933,SELL,2.4079914905696294,1.0,-1.381880184205983
NPNYY,4.18,4.0651956,SELL,0.04090131427762628,24.0,-2.7465176924563983
CCJ,27.05,26.85567,SELL,0.2646843423946868,4.0,-0.7184069169867748
ANET,169.36,171.22878,BUY,1.6571881784829632,1.0,1.103433528822655
VMW,132.99,131.68939,SELL,1.3013076042539518,1.0,-0.977974216223971
BTU,18.61,18.496536,SELL,0.18209891356617824,5.0,-0.6096923434561361
HCM,13.34,13.676753,BUY,0.13053194556543887,8.0,2.524385638144064
DLO,11.52,11.194335,SELL,0.11272323934886476,9.0,-2.8269532654020484
TEFOF,4.352,4.281708,SELL,0.042584334865126694,23.0,-1.6151708715102322
CRK,9.76,9.836105,BUY,0.09550163333723265,10.0,0.7797678963082758
NVCR,74.48,75.30491,BUY,0.728787054401341,1.0,1.1075574012371137
TAL,5.92,5.7649636,SELL,0.05792722022094439,17.0,-2.6188576543653324
TCCPY,4.37,4.403105,BUY,0.04276046492660929,23.0,0.7575465012469583
ALGM,39.6,39.248165,SELL,0.3874861352617226,3.0,-0.8884718923857753
LUMN,1.98,1.894927,SELL,0.01937430676308613,52.0,-4.296614907004615
SNAP,10.34,10.252386,SELL,0.10117693531833868,10.0,-0.8473298535817352
PARAA,17.31,17.482903,BUY,0.16937840912576813,6.0,0.9988591961610055
TEAM,167.94,165.31705,SELL,1.6432934736326692,1.0,-1.5618392764435947
MU,73.71,72.54422,SELL,0.7212526017712518,1.0,-1.58157648798924
AVGO,798.12,804.2344,BUY,7.809606926138537,1.0,0.7660972034280553
NET,61.19,61.80663,BUY,0.5987443590066871,2.0,1.0077286826412901
BIDU,125.25,122.79951,SELL,1.2255716778164334,1.0,-1.9564813244604542
LFST,7.8,7.700198,SELL,0.07632302664246052,13.0,-1.2795105958596231
NEWR,76.14,77.60403,BUY,0.745030160071403,1.0,1.9228090286755886
ULTA,422.04,419.2774,SELL,4.129662841562056,1.0,-0.6545813702122477
DLR,99.3,101.54785,BUY,0.9716508391790165,1.0,2.263697444612289
