OLK,21.51,-1.0,-0.12,2.67,-4.06,-4.53,37.88,28.42,-43.62,279.68,-16.95,-43.62,279.68,-16.95,0
CVCO,276.72,10.77,25.69,2.46,-5.86,-12.91,34.53,20.37,57.53,41.9,1.26,57.53,41.9,1.26,0
ARW,116.32,5.37,21.68,6.779,-2.83,-6.85,24.74,5.88,-133.31,-72.81,74.71,-133.31,-72.81,74.71,0
TOELY,57.56,14.99,3.84,107.57,-2.7,-3.0,44.51,-21.25,156.93,-57.6,0,156.93,-57.6,0,0
VRT,12.51,-1.0,-0.04,4.721,-3.25,-12.58,22.41,-7.61,-308.87,-19.14,1506.5,-308.87,-19.14,1506.5,0
KBH,38.58,4.25,9.07,3.167,-3.26,-3.98,45.31,24.37,-280.17,-127.21,33.84,-280.17,-127.21,33.84,0
AMBP,3.695,9.72,0.38,2.208,-3.78,-9.44,-18.97,-53.99,70.74,-446.97,-61.63,70.74,-446.97,-61.63,0
APE,1.535,-1.0,-1.49,3.74,-10.23,4.42,-9.71,-76.38,18.69,-45.16,-2754.38,18.69,-45.16,-2754.38,0
IVPAF,8.81,25.91,0.34,10.72,-3.61,-2.65,35.54,-3.93,560.31,-130.88,-41.74,560.31,-130.88,-41.74,0
KMTUY,23.35,9.73,2.4,22.439,-3.39,-6.0,30.52,-0.17,-81.79,-20.03,56.22,-81.79,-20.03,56.22,0
BE,17.72,-1.0,-1.48,3.827,-2.96,-11.09,7.98,-21.42,179.25,-19.18,-221.29,179.25,-19.18,-221.29,0
SPWR,12.7,22.28,0.57,2.319,-3.5,-8.24,-24.09,-40.24,302.32,-71.87,-45.42,302.32,-71.87,-45.42,0
IMPUY,9.06,4.25,2.13,7.699,-2.21,-1.2,-4.43,-42.66,-26.98,176.29,89.85,-26.98,176.29,89.85,0
PCVX,36.79,-1.0,-3.45,2.944,-2.23,-1.84,49.8,43.37,37.9,167.77,-1.15,37.9,167.77,-1.15,0
PLUG,9.32,-1.0,-1.09,6.046,-3.7,-20.48,-48.31,-64.18,134.38,168.08,211.0,134.38,168.08,211.0,0
ATKR,122.77,6.72,18.27,4.947,-3.44,-12.61,47.6,37.28,11.67,28.05,136.49,11.67,28.05,136.49,0
ACDSF,2.15,11.94,0.18,9.393,-3.15,-0.92,20.11,-0.46,39.35,-0.37,0,39.35,-0.37,0,0
GTLS,107.9,54.49,1.98,4.61,-3.26,-13.96,-41.1,-38.04,-108.92,-154.9,37.97,-108.92,-154.9,37.97,0
MPC,128.87,4.61,27.98,56.912,-2.89,-4.42,23.79,48.3,381.39,-886.96,-109.05,381.39,-886.96,-109.05,0
KC,8.13,-1.0,-1.96,2.063,-4.23,-8.55,264.57,58.17,-23.26,30.81,0,-23.26,30.81,0,0
ABNB,110.6,42.86,2.58,71.701,-4.13,-11.09,1.32,-31.96,57.32,-424.44,-785.79,57.32,-424.44,-785.79,0
LBRT,13.23,6.27,2.11,2.322,-2.32,3.28,-6.5,-16.42,-212.19,247.72,-127.62,-212.19,247.72,-127.62,0
MZDAY,4.28,4.6,0.93,5.471,-3.82,-6.75,36.74,26.25,162.31,46.4,-138.87,162.31,46.4,-138.87,0
ARCH,132.18,2.0,66.14,2.459,-2.78,0.55,-4.51,-9.43,-12516.0,-96.31,-248.55,-12516.0,-96.31,-248.55,0
GSAT,1.1,-1.0,-0.14,2.027,-1.79,-5.17,-34.52,-14.73,-81.51,475.79,-393.98,-81.51,475.79,-393.98,0
WHITF,4.645,1.85,2.51,4.297,-3.23,2.77,-29.62,36.62,83.17,4850.91,-147.01,83.17,4850.91,-147.01,0
DFKCY,8.94,40.66,0.22,13.527,-3.5,-0.22,18.73,-20.95,-118.41,48.29,178.92,-118.41,48.29,178.92,0
ZGN,12.55,-1.0,-0.67,3.118,-4.16,-7.99,16.2,20.91,-35.58,488.4,-72.3,-35.58,488.4,-72.3,0
PBF,40.9,1.79,22.84,5.272,-3.08,-5.67,2.1,55.93,1713.63,-127.57,-256.6,1713.63,-127.57,-256.6,0
LGIH,107.87,7.58,14.23,2.537,-2.53,-5.4,35.52,19.48,-1960.89,-89.99,-567.48,-1960.89,-89.99,-567.48,0
DKILY,16.79,26.23,0.64,50.089,-3.46,-6.2,13.91,0.54,-98.45,-51.44,32.17,-98.45,-51.44,32.17,0
LECO,154.61,19.25,8.03,8.905,-2.68,-8.57,26.21,19.03,2.97,3.55,-12.41,2.97,3.55,-12.41,0
FN,100.14,15.31,6.54,3.666,-10.82,-15.68,2.91,1.92,225.29,-54.62,-30.77,225.29,-54.62,-30.77,0
PBI-PB,14.68,11.13,0.0,2.736,-12.83,0,0,0.0,0,0,0,0,0,0,0
NTR,68.75,4.85,14.18,35.155,-3.76,-6.91,-11.77,-35.15,169.71,18.55,0.0,169.71,18.55,0.0,0
SKY,67.14,9.24,7.27,3.965,-1.97,-10.75,25.8,32.58,95.71,31.96,137.77,95.71,31.96,137.77,0
LYSCF,4.07,10.44,0.39,3.801,-3.33,-4.68,-11.71,-45.59,-16.1,56.78,773.89,-16.1,56.78,773.89,0
MOS,43.92,4.36,10.06,14.773,-5.15,-4.27,-6.27,-40.54,199.25,118.06,-333.03,199.25,118.06,-333.03,0
LITE,46.47,122.28,0.38,3.183,-9.44,-13.96,-29.27,-47.62,-46.59,-43.71,49.19,-46.59,-43.71,49.19,0
