symbols,scraped
OLK,1
CVCO,1
ARW,1
TOELY,1
VRT,1
KBH,1
AMBP,1
APE,1
IVPAF,1
KMTUY,1
BE,1
LRLCY,0
SPWR,1
IMPUY,1
PCVX,1
PLUG,1
ATKR,1
ACDSF,1
GTLS,1
MPC,1
KC,1
ABNB,1
LBRT,1
MZDAY,1
ARCH,1
GSAT,1
WHITF,1
DFKCY,1
ZGN,1
PBF,1
LGIH,1
DKILY,1
LECO,1
FN,1
PBI-PB,1
NTR,1
SKY,1
LYSCF,1
MOS,1
LITE,1
CIEN,1
TTNDF,1
SANM,1
FRO,1
CPRI,1
RPM,1
LEVI,1
WIRE,1
ASAI,1
NTCO,1
BDC,1
WWD,1
MDC,1
PCRFY,1
FNMAS,1
SIG,1
FMC,1
SMCI,1
LYSDY,1
UNVGY,1
DNUT,1
BGNE,1
PBCRF,1
IAS,1
AMC,1
LEGN,1
VIR,1
SYM,1
BBSEY,1
UNCRY,1
RXDX,1
ROIV,1
LU,1
UBSFY,1
DLO,1
CAIXY,1
LKNCY,1
TAK,1
IMCR,1
HCM,1
DNA,1
ALNY,1
BABA,1
ZTCOF,1
HLN,1
FLNC,1
CHWRF,1
DEA,1
LYSFF,1
PSNYW,1
MU,1
ARWR,1
ELAN,1
PTON,1
RYAAY,1
WAL,1
AICAF,1
RLLCF,1
EE,1
SRPT,1
KEY,1
DISH,1
GRFS,1
LESL,0
COLB,1
GETY,1
GNW,1
AI,1
LIFW,1
TEO,1
CTLT,1
TECK,1
CMA,1
BUR,1
CR,1
BNPQY,1
ATAT,1
ARGX,1
SYIEY,1
VONOY,1
RYCEY,1
SRAD,1
ALBHF,0
AFRM,1
CFLT,1
RLAY,1
KRYS,1
DIDIY,1
NAAS,1
PROK,1
FOXF,1
ENLAY,1
FRC,1
